winner,blue_wins,red_wins,Draw
Blue,4,4,
Blue,7,9,
Red,12,7,
Red,5,7,
Blue,2,1,
Blue,1,3,
Blue,1,2,
Blue,13,5,
Blue,2,9,
Blue,2,11,
Red,1,1,
Red,1,2,
Red,10,1,
Red,0,1,
Red,3,1,
Red,17,4,
Red,0,1,
Blue,0,0,
Blue,0,0,
Blue,3,3,
Red,2,19,
Red,5,13,
Blue,3,11,
Red,3,1,
Red,0,1,
Red,5,9,
Red,0,1,
Red,0,1,
Blue,0,1,
Red,2,14,
Blue,1,3,
Red,0,0,
Blue,0,1,
Red,12,7,
Blue,21,2,
Red,0,4,
Red,6,5,
Red,2,10,
Red,8,13,
Blue,0,0,
Red,1,4,
Red,0,0,
Red,0,2,
Red,0,9,
Blue,0,0,
Blue,2,5,
Blue,2,3,
Blue,5,9,
Red,10,16,
Blue,9,5,
Blue,7,7,
Blue,0,3,
Blue,8,7,
Draw,4,16,
Red,1,1,
Red,0,6,
Blue,2,12,
Red,4,2,
Blue,0,3,
Red,0,3,
Blue,12,18,
Blue,8,10,
Blue,3,5,
Red,7,13,
Red,8,5,
Blue,4,4,
Blue,3,2,
Blue,6,5,
Red,0,1,
Blue,0,1,
Blue,0,1,
Blue,7,9,
Blue,3,5,
Blue,6,7,
Red,9,4,
Blue,3,4,
Blue,11,6,
Red,2,1,
Red,3,7,
Red,2,1,
Red,0,4,
Red,6,15,
Blue,2,3,
Blue,1,6,
Blue,3,8,
Red,4,6,
Blue,0,0,
Blue,1,14,
Blue,6,7,
Red,2,0,
Red,3,13,
Red,3,9,
Blue,0,0,
Red,0,3,
Blue,0,0,
Blue,1,1,
Red,3,12,
Blue,0,2,
Red,0,0,
Blue,0,3,
Blue,0,2,
Blue,8,17,
Red,6,6,
Blue,0,0,
Red,1,0,
Blue,0,0,
Red,0,9,
Red,0,1,
Red,1,1,
Blue,3,2,
Red,0,8,
Red,1,0,
Blue,0,0,
Red,0,2,
Red,0,7,
Blue,6,5,
Red,0,0,
Red,1,2,
Blue,5,0,
Red,0,1,
Red,3,9,
Blue,5,2,
Blue,0,3,
Red,2,3,
Blue,0,9,
Red,4,3,
Blue,8,14,
Red,14,9,
Blue,0,1,
Red,0,1,
Red,0,0,
Red,0,0,
Red,0,8,
Red,1,1,
Draw,0,6,
Blue,4,6,
Blue,6,4,
Red,2,0,
Red,5,20,
Red,1,0,
Blue,1,1,
Red,1,2,
Red,1,1,
Blue,1,4,
Red,2,1,
Blue,3,4,
Red,12,10,
Blue,3,9,
Blue,1,2,
Red,1,1,
Blue,8,10,
Draw,1,0,
Red,9,1,
Red,0,3,
Blue,4,2,
Red,6,4,
Red,10,6,
Blue,6,6,
Blue,7,5,
Red,2,10,
Blue,6,3,
Blue,1,1,
Red,0,1,
Red,0,2,
Blue,0,2,
Blue,0,0,
Red,1,5,
Red,1,1,
Blue,7,8,
Red,0,6,
Red,8,13,
Blue,3,11,
Red,5,3,
Red,0,1,
Red,4,11,
Red,9,10,
Red,5,4,
Blue,0,2,
Blue,5,7,
Blue,12,11,
Red,1,8,
Blue,0,2,
Red,1,11,
Draw,0,4,
Blue,5,10,
Red,11,12,
Red,3,10,
Blue,0,9,
Red,9,7,
Red,2,0,
Red,2,0,
Red,0,5,
Red,3,12,
Red,1,0,
Red,4,8,
Blue,3,16,
Red,14,0,
Red,6,5,
Red,11,0,
Blue,5,8,
Red,0,1,
Red,2,6,
Red,0,0,
Blue,3,0,
Red,0,2,
Red,0,0,
Red,9,5,
Red,5,9,
Red,1,3,
Red,3,7,
Red,4,3,
Blue,3,4,
Red,1,1,
Red,5,8,
Blue,1,1,
Red,3,17,
Red,2,1,
Red,0,16,
Blue,1,1,
Red,3,3,
Red,10,1,
Blue,3,8,
Red,0,2,
Red,6,6,
Blue,4,10,
Red,9,1,
Red,6,9,
Red,1,2,
Red,2,10,
Red,3,3,
Red,4,5,
Red,0,9,
Red,6,11,
Red,3,2,
Blue,2,1,
Red,0,1,
Blue,4,10,
Red,3,5,
Blue,6,15,
Blue,0,0,
Red,0,4,
Red,1,2,
Blue,0,2,
Blue,4,4,
Red,6,8,
Red,7,1,
Blue,2,2,
Blue,15,4,
Red,15,8,
Red,0,0,
Red,3,4,
Red,3,7,
Blue,2,4,
Blue,3,6,
Red,1,0,
Red,12,8,
Blue,5,9,
Blue,7,10,
Blue,2,1,
Blue,0,3,
Red,0,4,
Red,3,0,
Blue,1,4,
Red,12,3,
Blue,1,1,
Blue,0,0,
Blue,1,3,
Blue,0,1,
Blue,0,2,
Blue,8,8,
Blue,4,14,
Blue,3,4,
Red,0,12,
Red,3,5,
Red,5,2,
Blue,2,9,
Blue,6,5,
Blue,0,0,
Red,0,0,
Blue,0,4,
Red,0,0,
Red,0,3,
Blue,9,12,
Red,5,10,
Blue,2,1,
Blue,2,1,
Blue,3,6,
Blue,10,6,
Blue,4,7,
Blue,7,7,
Red,6,6,
Red,2,1,
Blue,0,1,
Red,0,0,
Blue,2,12,
Red,0,0,
Red,1,2,
Red,1,1,
Red,0,0,
Red,1,8,
Red,0,0,
Blue,0,0,
Blue,0,0,
Red,2,3,
Red,0,1,
Red,3,10,
Red,1,6,
Blue,0,3,
Blue,7,20,
Blue,2,2,
Blue,1,5,
Blue,0,1,
Blue,6,2,
Blue,1,2,
Blue,3,1,
Red,1,1,
Red,0,1,
Red,4,4,
Blue,2,16,
Blue,5,9,
Blue,8,17,
Blue,4,8,
Red,9,10,
Red,0,4,
Blue,0,0,
Blue,4,14,
Blue,0,0,
Blue,10,14,
Blue,7,12,
Blue,8,10,
Blue,2,5,
Blue,4,12,
Red,2,0,
Blue,9,6,
Red,1,3,
Red,0,1,
Red,4,4,
Blue,0,1,
Red,16,1,
Red,0,4,
Blue,0,3,
Red,0,13,
Blue,3,4,
Red,1,1,
Blue,0,2,
Blue,4,9,
Red,1,3,
Red,6,2,
Blue,3,6,
Blue,0,3,
Red,0,1,
Red,5,6,
Blue,2,3,
Blue,2,2,
Blue,1,2,
Blue,8,6,
Blue,0,0,
Blue,7,19,
Red,6,5,
Blue,2,3,
Red,1,1,
Red,1,4,
Red,1,4,
Red,1,0,
Blue,4,1,
Red,4,1,
Blue,9,8,
Red,6,8,
Red,1,8,
Red,2,1,
Red,3,11,
Blue,15,15,
Red,1,4,
Red,6,4,
Blue,1,3,
Blue,3,12,
Red,1,5,
Red,0,0,
Blue,0,0,
Red,2,2,
Red,10,16,
Red,9,3,
Red,5,6,
Blue,9,13,
Blue,5,17,
Red,3,6,
Red,1,3,
Red,6,6,
Red,3,4,
Red,3,2,
Red,1,14,
Blue,7,6,
Red,2,1,
Blue,11,6,
Blue,7,7,
Red,0,0,
Blue,6,12,
Red,0,5,
Blue,0,1,
Blue,5,2,
Blue,13,1,
Red,1,1,
Blue,1,1,
Red,2,2,
Red,5,4,
Red,2,3,
Blue,1,14,
Red,8,5,
Red,8,9,
Blue,2,2,
Blue,6,11,
Red,0,2,
Red,0,3,
Blue,0,0,
Red,0,1,
Red,0,1,
Red,4,6,
Blue,4,6,
Blue,3,11,
Red,0,1,
Blue,3,5,
Blue,0,2,
Blue,15,12,
Blue,0,0,
Blue,5,16,
Red,0,4,
Blue,0,8,
Blue,3,2,
Red,5,8,
Red,1,1,
Blue,2,10,
Red,3,10,
Blue,2,6,
Red,1,2,
Red,6,8,
Blue,14,4,
Blue,2,9,
Blue,4,5,
Blue,6,10,
Blue,1,4,
Blue,6,8,
Blue,2,3,
Blue,0,1,
Red,0,8,
Red,3,9,
Blue,1,1,
Red,0,0,
Blue,0,0,
Red,3,9,
Blue,0,14,
Blue,3,2,
Red,1,4,
Red,12,8,
Red,6,19,
Red,0,1,
Red,1,0,
Blue,2,6,
Blue,1,2,
Red,3,3,
Blue,0,0,
Blue,3,8,
Red,0,2,
Blue,2,2,
Red,2,1,
Red,6,8,
Red,6,5,
Red,1,1,
Red,1,11,
Blue,3,3,
Red,4,6,
Red,1,3,
Red,1,7,
Red,4,8,
Red,0,3,
Red,9,6,
Red,4,2,
Red,1,4,
Red,2,14,
Blue,0,0,
Red,3,9,
Red,1,2,
Blue,3,1,
Red,9,7,
Red,5,4,
Blue,5,9,
Red,1,2,
Red,1,4,
Red,3,3,
Blue,4,4,
Red,3,2,
Red,3,3,
Blue,0,2,
Blue,0,0,
Red,4,5,
Red,3,1,
Red,6,11,
Red,2,6,
Red,3,8,
