,r_fighter,b_fighter,date_of_fight,location,winner,weight_class,b_wins,b_losses,b_win_by_decision_majority,b_win_by_decision_split,b_win_by_decision_unanimous,b_win_by_ko/tko,b_win_by_submission,b_win_by_tko_doctor_stoppage,b_stance,b_height_cms,b_Reach_cms,b_weight_lbs,r_wins,r_losses,r_win_by_decision_majority,r_win_by_decision_split,r_win_by_decision_unanimous,r_win_by_ko/tko,r_win_by_submission,r_win_by_tko_doctor_stoppage,r_stance,r_height_cms,r_Reach_cms,r_weight_lbs,b_age,r_age,Blue Total Wins,Red total Wins
1995,Alex Caceres,Jason Knight,1/28/2017,"Denver, Colorado, USA",Blue,Featherweight,2,1,0,1,1,0,0,0,Orthodox,177.8,180.34,145,7,8,0,2,3,0,2,0,Southpaw,177.8,185.42,145,24,28,,
1996,Henrique da Silva,Jordan Johnson,1/28/2017,"Denver, Colorado, USA",Blue,LightHeavyweight,0,0,0,0,0,0,0,0,Orthodox,187.96,200.66,205,2,1,0,0,0,1,1,0,Orthodox,190.5,193.04,205,28,27,,
1997,Bobby Nash,Li Jingliang,1/28/2017,"Denver, Colorado, USA",Blue,Welterweight,3,2,0,1,0,2,0,0,Orthodox,182.88,180.34,170,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,170,28,26,,
1998,Nate Marquardt,Sam Alvey,1/28/2017,"Denver, Colorado, USA",Blue,Middleweight,6,3,0,0,1,4,1,0,Southpaw,187.96,190.5,205,13,9,0,0,4,6,3,0,Orthodox,182.88,187.96,185,30,37,,
1999,Valentina Shevchenko,Julianna Pena,1/28/2017,"Denver, Colorado, USA",Red,WomenBantamweight,4,0,0,0,2,2,0,0,Orthodox,167.64,175.26,135,2,1,0,1,1,0,0,0,Southpaw,165.1,167.64,125,27,28,,
2000,Donald Cerrone,Jorge Masvidal,1/28/2017,"Denver, Colorado, USA",Blue,Welterweight,8,4,0,0,5,2,1,0,Orthodox,180.34,187.96,170,19,4,0,0,6,8,5,0,Orthodox,185.42,185.42,155,32,33,,
2001,Andrei Arlovski,Francis Ngannou,1/28/2017,"Denver, Colorado, USA",Blue,Heavyweight,4,0,0,0,0,2,1,1,Orthodox,193.04,210.82,250,14,7,0,1,2,9,2,0,Orthodox,190.5,195.58,240,30,37,,
2002,Raphael Assuncao,Aljamain Sterling,1/28/2017,"Denver, Colorado, USA",Red,Bantamweight,4,1,0,0,1,1,2,0,Orthodox,170.18,180.34,135,7,2,0,1,4,1,1,0,Orthodox,165.1,167.64,135,27,34,,
2003,Eric Spicely,Alessio Di Chirico,1/28/2017,"Denver, Colorado, USA",Red,Middleweight,1,1,0,1,0,0,0,0,Orthodox,182.88,187.96,185,1,1,0,0,0,0,1,0,Orthodox,185.42,185.42,185,27,30,,
2004,Alexandre Pantoja,Eric Shelton,1/28/2017,"Denver, Colorado, USA",Red,Flyweight,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,125,0,0,0,0,0,0,0,0,Orthodox,165.1,170.18,125,25,26,,
2005,Marcos Rogerio de Lima,Jeremy Kimball,1/28/2017,"Denver, Colorado, USA",Red,LightHeavyweight,0,0,0,0,0,0,0,0,Switch,182.88,182.88,205,3,2,0,0,0,2,1,0,Orthodox,185.42,190.5,253,26,31,,
2007,Frankie Saenz,Augusto Mendes,1/15/2017,"Phoenix, Arizona, USA",Blue,Bantamweight,0,1,0,0,0,0,0,0,Orthodox,167.64,165.1,135,3,2,0,1,2,0,0,0,Orthodox,167.64,167.64,135,33,36,,
2008,Joe Lauzon,Marcin Held,1/15/2017,"Phoenix, Arizona, USA",Red,Lightweight,0,1,0,0,0,0,0,0,Orthodox,175.26,180.34,155,13,9,0,0,1,4,7,1,Orthodox,177.8,180.34,155,24,32,,
2009,John Moraga,Sergio Pettis,1/15/2017,"Phoenix, Arizona, USA",Blue,Flyweight,5,2,0,0,5,0,0,0,Orthodox,167.64,175.26,125,5,4,0,1,0,1,3,0,Orthodox,167.64,167.64,125,23,32,,
2010,Anthony Rocco Martin,Alex White,1/15/2017,"Phoenix, Arizona, USA",Red,Lightweight,2,2,0,0,1,1,0,0,Southpaw,182.88,180.34,155,2,3,0,0,0,0,2,0,Orthodox,182.88,185.42,170,28,27,,
2011,Aleksei Oleinik,Viktor Pesta,1/15/2017,"Phoenix, Arizona, USA",Red,Heavyweight,1,3,0,0,1,0,0,0,Orthodox,190.5,195.58,240,2,1,0,0,0,1,1,0,Orthodox,187.96,203.2,240,26,39,,
2012,Devin Powell,Drakkar Klose,1/15/2017,"Phoenix, Arizona, USA",Blue,Lightweight,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,155,28,28,,
2013,Court McGee,Ben Saunders,1/15/2017,"Phoenix, Arizona, USA",Blue,Welterweight,7,4,0,1,1,2,3,0,Orthodox,187.96,195.58,170,7,4,0,1,4,0,2,0,Orthodox,180.34,190.5,170,33,32,,
2014,Yair Rodriguez,BJ Penn,1/15/2017,"Phoenix, Arizona, USA",Red,Featherweight,12,11,0,0,1,6,4,1,Orthodox,175.26,177.8,155,5,0,0,2,2,1,0,0,Orthodox,180.34,180.34,145,38,24,,
2015,Bojan Mihajlovic,Joachim Christensen,1/15/2017,"Phoenix, Arizona, USA",Blue,LightHeavyweight,0,1,0,0,0,0,0,0,Orthodox,190.5,193.04,205,0,1,0,0,0,0,0,0,Orthodox,180.34,185.42,205,38,36,,
2016,Walt Harris,Chase Sherman,1/15/2017,"Phoenix, Arizona, USA",Red,Heavyweight,0,1,0,0,0,0,0,0,Orthodox,193.04,198.12,250,1,4,0,0,0,1,0,0,Southpaw,195.58,195.58,250,27,33,,
2017,Dmitrii Smoliakov,Cyril Asker,1/15/2017,"Phoenix, Arizona, USA",Blue,Heavyweight,0,1,0,0,0,0,0,0,Orthodox,182.88,187.96,247,0,1,0,0,0,0,0,0,Switch,187.96,187.96,253,31,34,,
2018,Jocelyn Jones-Lybarger,Nina Ansaroff,1/15/2017,"Phoenix, Arizona, USA",Blue,WomenStrawweight,0,2,0,0,0,0,0,0,Orthodox,165.1,162.56,115,0,2,0,0,0,0,0,0,Orthodox,170.18,162.56,115,31,31,,
2019,Dong Hyun Kim,Tarec Saffiedine,12/30/2016,"Las Vegas, Nevada, USA",Red,Welterweight,2,2,0,0,2,0,0,0,Switch,177.8,177.8,170,12,4,0,1,6,4,1,0,Southpaw,187.96,193.04,170,30,35,,
2020,Louis Smolka,Ray Borg,12/30/2016,"Las Vegas, Nevada, USA",Blue,Flyweight,3,2,0,0,1,0,2,0,Orthodox,162.56,160.02,135,5,2,0,0,2,2,1,0,Orthodox,175.26,172.72,135,23,25,,
2021,TJ Dillashaw,John Lineker,12/30/2016,"Las Vegas, Nevada, USA",Red,Bantamweight,10,2,0,1,3,5,1,0,Orthodox,160.02,170.18,135,9,3,0,0,3,5,1,0,Orthodox,167.64,170.18,125,26,30,,
2022,Amanda Nunes,Ronda Rousey,12/30/2016,"Las Vegas, Nevada, USA",Red,WomenBantamweight,6,1,0,0,0,3,3,0,Orthodox,170.18,167.64,135,6,1,0,0,1,3,2,0,Orthodox,172.72,175.26,145,29,28,,
2023,Johny Hendricks,Neil Magny,12/30/2016,"Las Vegas, Nevada, USA",Blue,Welterweight,11,4,0,1,5,4,1,0,Orthodox,190.5,203.2,170,12,5,1,2,4,5,0,0,Southpaw,175.26,175.26,185,29,33,,
2024,Mike Pyle,Alex Garcia,12/30/2016,"Las Vegas, Nevada, USA",Blue,Welterweight,3,2,0,1,1,1,0,0,Orthodox,175.26,182.88,170,10,7,0,1,2,5,2,0,Orthodox,182.88,187.96,170,29,41,,
2025,Antonio Carlos Junior,Marvin Vettori,12/30/2016,"Las Vegas, Nevada, USA",Red,Middleweight,1,0,0,0,0,0,1,0,Southpaw,182.88,187.96,185,3,3,0,0,1,0,2,0,Orthodox,187.96,200.66,185,23,26,,
2026,Dominick Cruz,Cody Garbrandt,12/30/2016,"Las Vegas, Nevada, USA",Blue,Bantamweight,5,0,0,0,1,4,0,0,Orthodox,172.72,165.1,135,5,0,0,1,3,1,0,0,Orthodox,172.72,172.72,135,25,31,,
2027,Alex Oliveira,Tim Means,12/30/2016,"Las Vegas, Nevada, USA",Draw,Welterweight,8,4,0,1,2,4,1,0,Orthodox,187.96,190.5,170,5,2,0,0,2,2,1,0,Orthodox,180.34,193.04,170,32,28,,
2028,Brandon Thatch,Niko Price,12/30/2016,"Las Vegas, Nevada, USA",Blue,Welterweight,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,2,3,0,0,0,2,0,0,Switch,187.96,187.96,170,27,31,,
2029,Paige VanZant,Michelle Waterson,12/17/2016,"Sacramento, California, USA",Blue,WomenStrawweight,1,0,0,0,0,0,1,0,Orthodox,160.02,157.48,115,4,1,0,0,1,2,1,0,Orthodox,162.56,165.1,115,30,22,,
2030,Alan Jouban,Mike Perry,12/17/2016,"Sacramento, California, USA",Red,Welterweight,2,0,0,0,0,2,0,0,Orthodox,177.8,180.34,170,5,2,0,0,2,3,0,0,Southpaw,182.88,185.42,170,25,35,,
2031,Henrique da Silva,Paul Craig,12/17/2016,"Sacramento, California, USA",Blue,LightHeavyweight,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,205,2,0,0,0,0,1,1,0,Orthodox,190.5,193.04,205,29,27,,
2032,James Moontasri,Alex Morono,12/17/2016,"Sacramento, California, USA",Blue,Welterweight,1,0,0,1,0,0,0,0,Orthodox,180.34,182.88,170,2,3,0,0,0,1,1,0,Switch,177.8,180.34,170,26,28,,
2033,Cole Miller,Mizuto Hirota,12/17/2016,"Sacramento, California, USA",Blue,Featherweight,0,3,0,0,0,0,0,0,Orthodox,170.18,170.18,155,10,9,0,0,2,1,7,0,Orthodox,185.42,185.42,145,35,32,,
2034,Bryan Barberena,Colby Covington,12/17/2016,"Sacramento, California, USA",Blue,Welterweight,5,1,0,0,1,2,2,0,Orthodox,180.34,182.88,170,3,1,0,0,1,1,1,0,Southpaw,182.88,182.88,170,28,27,,
2035,Sage Northcutt,Mickey Gall,12/17/2016,"Sacramento, California, USA",Blue,Welterweight,2,0,0,0,0,0,2,0,Switch,187.96,187.96,170,3,1,0,0,1,1,1,0,Orthodox,182.88,180.34,170,24,20,,
2036,Urijah Faber,Brad Pickett,12/17/2016,"Sacramento, California, USA",Red,Bantamweight,5,7,0,2,1,1,1,0,Orthodox,167.64,172.72,135,9,6,0,0,3,0,6,0,Orthodox,167.64,170.18,135,38,37,,
2037,Josh Emmett,Scott Holtzman,12/17/2016,"Sacramento, California, USA",Red,Lightweight,2,1,0,0,1,0,1,0,Orthodox,175.26,175.26,155,1,0,0,1,0,0,0,0,Orthodox,167.64,177.8,145,33,31,,
2038,Eddie Wineland,Takeya Mizugaki,12/17/2016,"Sacramento, California, USA",Red,Bantamweight,8,5,0,3,4,1,0,0,Orthodox,170.18,175.26,135,4,5,0,1,0,3,0,0,Orthodox,170.18,175.26,135,33,32,,
2039,Leslie Smith,Irene Aldana,12/17/2016,"Sacramento, California, USA",Red,WomenBantamweight,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,135,2,3,0,0,1,1,0,0,Orthodox,175.26,167.64,135,28,34,,
2040,Hector Sandoval,Fredy Serrano,12/17/2016,"Sacramento, California, USA",Red,Flyweight,2,1,0,0,0,2,0,0,Orthodox,160.02,165.1,125,0,1,0,0,0,0,0,0,Orthodox,157.48,162.56,125,37,30,,
2041,Bojan Velickovic,Sultan Aliev,12/17/2016,"Sacramento, California, USA",Blue,Welterweight,0,1,0,0,0,0,0,0,Orthodox,180.34,187.96,170,1,1,0,0,1,0,0,0,Southpaw,182.88,193.04,170,32,27,,
2042,Donald Cerrone,Matt Brown,12/10/2016,"Toronto, Ontario, Canada",Red,Welterweight,13,9,0,0,2,9,2,0,Orthodox,182.88,190.5,170,18,4,0,0,6,7,5,0,Orthodox,185.42,185.42,155,35,33,,
2043,Cub Swanson,Dooho Choi,12/10/2016,"Toronto, Ontario, Canada",Red,Featherweight,3,0,0,0,0,3,0,0,Orthodox,177.8,177.8,145,8,3,0,0,4,4,0,0,Orthodox,172.72,177.8,145,25,33,,
2044,Jordan Mein,Emil Meek,12/10/2016,"Toronto, Ontario, Canada",Blue,Welterweight,0,0,0,0,0,0,0,0,Switch,180.34,187.96,170,3,2,0,1,0,2,0,0,Orthodox,182.88,185.42,170,28,27,,
2045,Max Holloway,Anthony Pettis,12/10/2016,"Toronto, Ontario, Canada",Red,Featherweight,6,4,0,1,0,2,3,0,Orthodox,177.8,182.88,155,12,3,0,1,4,5,2,0,Orthodox,180.34,175.26,145,29,25,,
2046,Valerie Letourneau,Viviane Pereira,12/10/2016,"Toronto, Ontario, Canada",Blue,WomenStrawweight,0,0,0,0,0,0,0,0,Orthodox,154.94,160.02,115,3,2,0,1,2,0,0,0,Orthodox,170.18,172.72,115,23,33,,
2047,Nikita Krylov,Misha Cirkunov,12/10/2016,"Toronto, Ontario, Canada",Blue,LightHeavyweight,3,0,0,0,0,1,2,0,Orthodox,190.5,195.58,205,6,2,0,0,0,3,3,0,Orthodox,190.5,195.58,205,29,24,,
2048,Olivier Aubin-Mercier,Drew Dober,12/10/2016,"Toronto, Ontario, Canada",Red,Lightweight,3,4,0,0,1,1,1,0,Southpaw,172.72,177.8,155,4,2,0,0,1,0,3,0,Southpaw,175.26,177.8,155,28,27,,
2049,Tim Kennedy,Kelvin Gastelum,12/10/2016,"Toronto, Ontario, Canada",Blue,Middleweight,7,2,0,2,2,1,2,0,Southpaw,175.26,180.34,185,3,1,0,0,2,1,0,0,Orthodox,180.34,187.96,185,25,37,,
2050,Mitch Gagnon,Matthew Lopez,12/10/2016,"Toronto, Ontario, Canada",Blue,Bantamweight,0,1,0,0,0,0,0,0,Southpaw,170.18,175.26,135,4,2,0,0,1,0,3,0,Southpaw,165.1,165.1,135,29,32,,
2051,Zach Makovsky,Dustin Ortiz,12/10/2016,"Toronto, Ontario, Canada",Blue,Flyweight,4,4,0,2,0,2,0,0,Orthodox,165.1,165.1,125,3,3,0,0,3,0,0,0,Southpaw,162.56,162.56,125,27,33,,
2052,John Makdessi,Lando Vannata,12/10/2016,"Toronto, Ontario, Canada",Blue,Lightweight,0,1,0,0,0,0,0,0,Orthodox,175.26,180.34,155,7,5,0,1,3,3,0,0,Orthodox,172.72,172.72,155,24,31,,
2053,Jason Saggo,Rustam Khabilov,12/10/2016,"Toronto, Ontario, Canada",Blue,Lightweight,6,2,0,0,4,1,0,1,Orthodox,172.72,185.42,155,3,1,0,1,0,2,0,0,Orthodox,180.34,180.34,155,30,31,,
2054,Andrew Sanchez,Trevor Smith,12/9/2016,"Albany, New York, USA",Red,Middleweight,4,3,0,1,3,0,0,0,Orthodox,190.5,190.5,185,1,0,0,0,1,0,0,0,Orthodox,185.42,187.96,185,35,28,,
2055,Francis Ngannou,Anthony Hamilton,12/9/2016,"Albany, New York, USA",Red,Heavyweight,3,3,0,0,1,2,0,0,Orthodox,195.58,193.04,260,3,0,0,0,0,2,0,1,Orthodox,193.04,210.82,250,36,30,,
2056,Randy Brown,Brian Camozzi,12/9/2016,"Albany, New York, USA",Red,Welterweight,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,170,2,1,0,0,1,0,1,0,Orthodox,190.5,198.12,170,25,26,,
2057,Corey Anderson,Sean O'Connell,12/9/2016,"Albany, New York, USA",Red,LightHeavyweight,2,4,0,0,0,2,0,0,Orthodox,185.42,187.96,205,5,2,0,0,4,1,0,0,Orthodox,190.5,200.66,205,33,27,,
2059,Gian Villante,Saparbeg Safarov,12/9/2016,"Albany, New York, USA",Red,LightHeavyweight,0,0,0,0,0,0,0,0,Orthodox,185.42,198.12,185,4,4,0,1,0,3,0,0,Orthodox,190.5,193.04,230,30,31,,
2060,Derrick Lewis,Shamil Abdurakhimov,12/9/2016,"Albany, New York, USA",Red,Heavyweight,2,1,0,1,1,0,0,0,Orthodox,190.5,193.04,235,7,2,0,1,0,6,0,0,Orthodox,190.5,200.66,260,35,31,,
2061,Justine Kish,Ashley Yoder,12/9/2016,"Albany, New York, USA",Red,WomenStrawweight,0,0,0,0,0,0,0,0,Southpaw,170.18,175.26,115,1,0,0,0,1,0,0,0,Orthodox,165.1,162.56,125,29,28,,
2062,Tiago dos Santos e Silva,Shane Burgos,12/9/2016,"Albany, New York, USA",Blue,Featherweight,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,145,2,1,0,1,1,0,0,0,Orthodox,175.26,177.8,145,25,29,,
2063,Frankie Perez,Marc Diakiese,12/9/2016,"Albany, New York, USA",Blue,Lightweight,1,0,0,0,0,1,0,0,Orthodox,177.8,185.42,155,1,1,0,0,0,1,0,0,Orthodox,180.34,185.42,155,23,27,,
2064,Juliana Lima,JJ Aldrich,12/9/2016,"Albany, New York, USA",Red,WomenStrawweight,0,0,0,0,0,0,0,0,Southpaw,165.1,170.18,125,2,2,0,0,2,0,0,0,Orthodox,165.1,165.1,115,24,34,,
2066,Jake Ellenberger,Jorge Masvidal,12/3/2016,"Las Vegas, Nevada, USA",Blue,Welterweight,7,4,0,0,5,1,1,0,Orthodox,180.34,187.96,170,10,7,0,1,2,5,1,1,Orthodox,175.26,180.34,170,32,31,,
2067,Sara McMann,Alexis Davis,12/3/2016,"Las Vegas, Nevada, USA",Red,WomenBantamweight,4,1,0,1,2,0,1,0,Orthodox,167.64,172.72,135,3,3,0,1,1,1,0,0,Orthodox,167.64,167.64,135,32,36,,
2068,Ion Cutelaba,Jared Cannonier,12/3/2016,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,1,1,0,0,0,1,0,0,Switch,180.34,195.58,185,1,1,0,0,1,0,0,0,Southpaw,185.42,190.5,205,32,22,,
2069,Demetrious Johnson,Tim Elliott,12/3/2016,"Las Vegas, Nevada, USA",Red,Flyweight,2,4,0,0,2,0,0,0,Southpaw,170.18,167.64,125,12,2,0,1,6,2,3,0,Orthodox,160.02,167.64,125,29,30,,
2070,Gray Maynard,Ryan Hall,12/3/2016,"Las Vegas, Nevada, USA",Blue,Featherweight,1,0,0,0,1,0,0,0,Southpaw,177.8,177.8,145,10,7,0,3,6,1,0,0,Orthodox,175.26,177.8,155,31,37,,
2071,Rob Font,Matt Schnell,12/3/2016,"Las Vegas, Nevada, USA",Red,Bantamweight,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,125,2,1,0,0,0,2,0,0,Orthodox,172.72,180.34,135,26,29,,
2072,Joseph Benavidez,Henry Cejudo,12/3/2016,"Las Vegas, Nevada, USA",Red,Flyweight,4,1,0,1,3,0,0,0,Orthodox,162.56,162.56,135,11,2,0,0,7,3,1,0,Southpaw,162.56,165.1,125,29,32,,
2073,Brandon Moreno,Ryan Benoit,12/3/2016,"Las Vegas, Nevada, USA",Red,Flyweight,2,2,0,1,0,1,0,0,Orthodox,165.1,172.72,125,1,0,0,0,0,0,1,0,Orthodox,170.18,177.8,125,27,22,,
2074,Kailin Curran,Jamie Moyle,12/3/2016,"Las Vegas, Nevada, USA",Blue,WomenStrawweight,0,0,0,0,0,0,0,0,Orthodox,154.94,165.1,115,1,3,0,0,0,0,1,0,Orthodox,162.56,165.1,115,27,25,,
2075,Josh Stansbury,Devin Clark,12/3/2016,"Las Vegas, Nevada, USA",Blue,LightHeavyweight,0,1,0,0,0,0,0,0,Orthodox,182.88,190.5,205,1,0,1,0,0,0,0,0,Orthodox,187.96,187.96,205,26,32,,
2076,Elvis Mutapcic,Anthony Smith,12/3/2016,"Las Vegas, Nevada, USA",Blue,Middleweight,1,2,0,0,1,0,0,0,Orthodox,193.04,193.04,205,0,2,0,0,0,0,0,0,Orthodox,182.88,182.88,185,28,30,,
2077,Dong Hyun Ma,Brendan O'Reilly,12/3/2016,"Las Vegas, Nevada, USA",Red,Lightweight,1,2,0,0,1,0,0,0,Orthodox,170.18,175.26,170,0,2,0,0,0,0,0,0,Orthodox,180.34,177.8,155,29,28,,
2078,Daniel Kelly,Chris Camozzi,11/26/2016,"Melbourne, Victoria, Australia",Red,Middleweight,9,8,0,2,4,1,1,1,Orthodox,187.96,190.5,185,4,1,0,0,2,1,1,0,Southpaw,182.88,177.8,185,30,39,,
2079,Khalil Rountree Jr.,Tyson Pedro,11/26/2016,"Melbourne, Victoria, Australia",Blue,LightHeavyweight,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,205,0,1,0,0,0,0,0,0,Southpaw,185.42,193.04,205,25,26,,
2080,Kyle Noke,Omari Akhmedov,11/26/2016,"Melbourne, Victoria, Australia",Blue,Welterweight,3,3,0,0,1,2,0,0,Orthodox,182.88,185.42,185,6,5,0,1,0,3,2,0,Southpaw,185.42,193.04,170,29,36,,
2082,Damien Brown,Jon Tuck,11/26/2016,"Melbourne, Victoria, Australia",Red,Lightweight,3,3,0,0,1,1,1,0,Orthodox,180.34,185.42,155,1,1,0,0,0,1,0,0,Orthodox,177.8,172.72,155,32,31,,
2083,Jake Matthews,Andrew Holbrook,11/26/2016,"Melbourne, Victoria, Australia",Blue,Lightweight,1,1,0,1,0,0,0,0,Southpaw,180.34,177.8,155,4,2,0,0,0,0,3,1,Orthodox,180.34,185.42,170,30,22,,
2084,Seo Hee Ham,Danielle Taylor,11/26/2016,"Melbourne, Victoria, Australia",Blue,WomenStrawweight,0,1,0,0,0,0,0,0,Orthodox,152.4,152.4,115,1,2,0,0,1,0,0,0,Southpaw,157.48,157.48,115,27,29,,
2085,Robert Whittaker,Derek Brunson,11/26/2016,"Melbourne, Victoria, Australia",Red,Middleweight,7,1,0,0,2,4,1,0,Southpaw,185.42,195.58,185,7,2,0,0,4,3,0,0,Orthodox,182.88,185.42,185,32,25,,
2087,Dan Hooker,Jason Knight,11/26/2016,"Melbourne, Victoria, Australia",Blue,Featherweight,1,1,0,1,0,0,0,0,Orthodox,177.8,180.34,145,3,2,0,0,0,2,1,0,Switch,182.88,190.5,155,24,26,,
2088,Marlon Vera,Guangyou Ning,11/26/2016,"Melbourne, Victoria, Australia",Red,Featherweight,2,1,0,0,1,1,0,0,Southpaw,162.56,162.56,145,1,2,0,0,0,0,1,0,Switch,172.72,177.8,135,34,23,,
2089,Ben Nguyen,Geane Herrera,11/26/2016,"Melbourne, Victoria, Australia",Red,Flyweight,1,2,0,0,0,1,0,0,Orthodox,165.1,167.64,125,2,1,0,0,0,1,1,0,Switch,165.1,165.1,125,26,28,,
2090,Yao Zhikui,Jenel Lausa,11/26/2016,"Melbourne, Victoria, Australia",Blue,Flyweight,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,1,2,0,1,0,0,0,0,Orthodox,165.1,162.56,125,28,25,,
2091,Marcos Rogerio de Lima,Gadzhimurad Antigulov,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Blue,LightHeavyweight,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,205,3,1,0,0,0,2,1,0,Orthodox,185.42,190.5,253,29,31,,
2092,Cezar Ferreira,Jack Hermansson,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,Middleweight,1,0,0,0,1,0,0,0,Orthodox,185.42,195.58,185,6,3,0,1,4,0,1,0,Southpaw,185.42,198.12,185,28,31,,
2093,Sergio Moraes,Zak Ottow,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,Welterweight,1,0,0,1,0,0,0,0,Orthodox,180.34,182.88,170,4,2,0,0,1,1,2,0,Orthodox,182.88,182.88,170,29,34,,
2094,Claudia Gadelha,Cortney Casey,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,WomenStrawweight,2,2,0,0,0,1,1,0,Orthodox,170.18,170.18,125,2,2,0,0,2,0,0,0,Orthodox,162.56,160.02,115,29,27,,
2095,Thomas Almeida,Albert Morales,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,Bantamweight,0,1,0,0,0,0,0,0,Orthodox,175.26,182.88,135,4,1,0,0,1,3,0,0,Southpaw,170.18,177.8,145,25,25,,
2096,Warlley Alves,Kamaru Usman,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Blue,Welterweight,3,0,0,0,2,0,1,0,Switch,182.88,193.04,170,4,1,0,0,1,0,3,0,Orthodox,180.34,182.88,170,29,25,,
2097,Thales Leites,Krzysztof Jotko,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Blue,Middleweight,5,1,0,1,3,1,0,0,Southpaw,185.42,195.58,185,11,5,0,1,3,2,5,0,Orthodox,185.42,198.12,185,27,35,,
2098,Ryan Bader,Rogerio Nogueira,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,LightHeavyweight,5,4,0,1,1,3,0,0,Southpaw,187.96,190.5,205,14,5,0,1,8,4,1,0,Orthodox,187.96,187.96,205,40,33,,
2099,Francimar Barroso,Darren Stewart,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Draw,LightHeavyweight,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,185,3,2,0,0,3,0,0,0,Orthodox,185.42,190.5,205,25,36,,
2101,Johnny Eduardo,Manvel Gamburyan,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,Bantamweight,6,8,0,0,3,0,3,0,Orthodox,165.1,170.18,135,2,2,0,0,1,1,0,0,Orthodox,170.18,180.34,135,35,38,,
2102,Pedro Munhoz,Justin Scoggins,11/19/2016,"Sao Paulo, Sao Paulo, Brazil",Red,Bantamweight,4,2,0,0,3,1,0,0,Southpaw,170.18,167.64,125,2,3,0,0,0,1,1,0,Orthodox,167.64,165.1,135,24,30,,
2103,Kevin Lee,Magomed Mustafaev,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,Lightweight,2,0,0,0,0,1,0,1,Orthodox,172.72,180.34,155,6,2,0,1,3,1,1,0,Orthodox,175.26,195.58,170,28,24,,
2104,Magnus Cedenblad,Jack Marshman,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Blue,Middleweight,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,185,4,1,0,0,1,1,2,0,Orthodox,195.58,200.66,185,26,34,,
2105,Artem Lobov,Teruto Ishihara,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,Featherweight,2,1,0,0,0,2,0,0,Southpaw,170.18,175.26,135,1,2,0,0,1,0,0,0,Southpaw,175.26,165.1,145,25,30,,
2106,Kyoji Horiguchi,Ali Bagautinov,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,Flyweight,4,2,0,0,3,1,0,0,Orthodox,162.56,165.1,125,6,1,0,0,4,2,0,0,Orthodox,165.1,167.64,125,31,26,,
2107,Ross Pearson,Stevie Ray,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Blue,Lightweight,3,1,0,0,1,2,0,0,Southpaw,177.8,177.8,155,11,10,0,2,4,4,0,1,Orthodox,172.72,175.26,155,26,32,,
2109,Gegard Mousasi,Uriah Hall,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,Middleweight,5,5,0,0,1,2,0,2,Orthodox,182.88,200.66,185,7,3,0,0,3,3,1,0,Orthodox,187.96,193.04,185,32,31,,
2110,Timothy Johnson,Alexander Volkov,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Blue,Heavyweight,0,0,0,0,0,0,0,0,Orthodox,200.66,203.2,250,2,1,0,0,1,1,0,0,Southpaw,190.5,195.58,265,28,31,,
2111,Zak Cummings,Alexander Yakovlev,11/19/2016,"Belfast, Northern Ireland, United Kingdom",Red,Welterweight,2,3,0,0,1,1,0,0,Southpaw,190.5,187.96,155,4,2,0,0,2,1,1,0,Southpaw,182.88,190.5,185,32,32,,
